"Timestamp","Vous êtes ? ","Quel âge avez-vous?","De quelle catégorie est votre permis?","Depuis combien de temps conduisez-vous?","En moyenne, combien de temps passez vous  en roulant pendant une journée ?","Prenez vous les dispositions nécessaires avant de prendre l’autoroute(moteur, vérification des pneus…)","Avez-vous déjà eu un accident récemment?","Quand a eu lieu l'accident ?","A quelle heure a eu l'accident ?","Responsabilité de l'accident :","Lors de votre accident, vous étiez :","Quelles ont été les conséquences suite à cet accident ?","Suite à votre accident, avez-vous eu besoin d'un arrêt de travail ou d'une interruption de votre scolarité  ?","D'après vous quelles sont les causes réelles de ces accidents","A votre avis, laquelle parmi les causes liées à l'infrastructure est le facteur prépondérant des accidents? ","Après l'accident , votre conduite : ","Vous collez le véhicule devant vous ou bien vous lui faites des appels de phares pour lui dire d’aller plus vite ou de changer de voie :","Vous ne vous souvenez plus où vous avez garé votre véhicule dans un grand parking :","Vous tournez à droite pour entrer sur une route principale et vous croisez le chemin d’un véhicule que vous n’aviez pas vu ou dont vous aviez mal estimé la vitesse :","Délibérément, vous ne respectez pas la limitation de vitesse tard dans la nuit ou très tôt le matin :","Vous  respectez pas le passage piéton :","Vous sous-estimez la vitesse d’un véhicule approchant lorsque vous dépassez :","A la présence d'un dispositif de contrôle(policier,radar...) , vous respectez la vitesse limite:","Vous pénétrez par une mauvaise voie dans un rond-point ou à l’approche d’une intersection :","Vous lisez mal les panneaux et vous prenez la mauvaise sortie à un rond-point : ","Vous vous trouvez impliqué(e) dans une « course non officielle » avec d’autres conducteurs :","   Vous ne respectez pas la limitation de vitesse lorsque la chaussée d'une autoroute comporte trois bandes  de circulation :","Est ce que vous appelez ou répondez aux appels téléphoniques pendant que vous conduisez?","Est ce que vous envoyez des SMS depuis votre téléphone portable en conduisant?"
"2018/04/08 1:14:25 PM GMT+1","Un homme","Entre 34 et 41 ans","C","Entre 3 et 10 ans","Entre 30 et 60 minutes","Rarement","Oui","Moins d'un an","20h - 0h","50/50","En voiture","Matérielles","Arrêt de travail / Interruption de scolarité","J'était malade","Facteur lié à l'entretien de la route (trous / dos-d'âne )","N’a pas changée","Rarement","Assez souvent","Assez souvent","Presque toujours","Presque toujours","Fréquemment","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Parfois","Presque toujours","Parfois","Parfois","",""
"2018/04/08 1:17:07 PM GMT+1","Une femme","Plus de 42 ans","B","Entre 3 et 10 ans","Plus de 3 heures","Parfois","Oui","Plus d'un an","0h - 4h","50/50","Piéton","Psychologiques","Incapacité Totale de Travail (ITT)","Manque de connaissance de la base de conduite","Facteur lié à l'entretien de la route (trous / dos-d'âne )","S’est plutôt améliorée","Assez souvent","Rarement","Rarement","Presque toujours","Fréquemment","Assez souvent","Je ne respecte pas  la vitesse même si il y a ou non un dispositif de contrôle","Presque toujours","Rarement","Assez souvent","Rarement","",""
"2018/04/08 6:46:50 PM GMT+1","Un homme","Plus de 42 ans","B","Plus de 10 ans","Entre 1 heure et 3 heures","Parfois","Non","","","","","","","","","","Assez souvent","Rarement","Parfois","Rarement","Presque toujours","Parfois","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Parfois","Rarement","Jamais","Parfois","",""
"2018/04/08 7:08:54 PM GMT+1","Un homme","Plus de 42 ans","B","Plus de 10 ans","Entre 30 et 60 minutes","Parfois","Non","","","","","","","","","","Assez souvent","Rarement","Rarement","Jamais","Presque toujours","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Rarement","Rarement","Jamais","",""
"2018/04/08 8:14:14 PM GMT+1","Un homme","Entre 34 et 41 ans","B","Plus de 10 ans","Entre 1 heure et 3 heures","Fréquemment","Oui","Moins d'un an","16h - 20h","Pas responsable","En voiture","Matérielles","","Des problèmes d'infrastructures et de signalisation (aménagement comme pistes cyclables non protégées, travaux sur la route, routes mal entretenues).","Facteur lié à la signalisation;Facteur lié à l'entretien de la route (trous / dos-d'âne )","N’a pas changée","Rarement","Jamais","Rarement","Jamais","Assez souvent","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Parfois","Rarement","Jamais","",""
"2018/04/08 11:47:55 PM GMT+1","Une femme","Plus de 42 ans","A","Plus de 10 ans","Entre 1 heure et 3 heures","Parfois","Non","","","","","","","","","","Fréquemment","Rarement","Rarement","Fréquemment","Fréquemment","Rarement","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Jamais","Rarement","Jamais","Rarement","",""
"2018/04/09 2:01:35 AM GMT+1","Un homme","Plus de 42 ans","B","Plus de 10 ans","Entre 30 et 60 minutes","Presque toujours","Oui","Moins d'un an","16h - 20h","Pas responsable","En voiture","Matérielles","","Je ne sais pas","Facteur lié à l'entretien de la route (trous / dos-d'âne )","N’a pas changée","Rarement","Parfois","Rarement","Jamais","Presque toujours","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Jamais","Jamais","",""
"2018/04/09 10:08:50 AM GMT+1","Une femme","Entre 34 et 41 ans","C","Entre 3 et 10 ans","Entre 0 et 30 minutes","Rarement","Non","","","","","","","","","","Parfois","Rarement","Rarement","Parfois","Parfois","Rarement","Je ne respecte pas  la vitesse même si il y a ou non un dispositif de contrôle","Assez souvent","Parfois","Assez souvent","Assez souvent","",""
"2018/04/09 10:15:03 AM GMT+1","Une femme","Entre 18 et 25 ans","B","Entre 3 et 10 ans","Entre 1 heure et 3 heures","Assez souvent","Non","","","","","","","","","","Presque toujours","Assez souvent","Parfois","Parfois","Fréquemment","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Rarement","Rarement","Parfois","",""
"2018/04/09 10:15:57 AM GMT+1","Une femme","Entre 26 et 33 ans","B","Entre 3 et 10 ans","Entre 30 et 60 minutes","Assez souvent","Non","","","","","","","","","","Parfois","Parfois","Parfois","Assez souvent","Assez souvent","Assez souvent","Je ne respecte pas  la vitesse même si il y a ou non un dispositif de contrôle","Parfois","Rarement","Parfois","Parfois","",""
